idade,sexo,trabalho,moradia,conta_poupanca,conta_corrente,quantidade_credito,duracao,objetivo,pagamento_realizado
67,masculino,2,própria,não possui,pouco,1169,6,rádio/TV,1
22,feminino,2,própria,pouco,moderado,5951,48,rádio/TV,0
49,masculino,1,própria,pouco,não possui,2096,12,educação,0
45,masculino,2,gratuita,pouco,pouco,7882,42,móveis/equipamentos,0
53,masculino,2,gratuita,pouco,pouco,4870,24,carro,0
35,masculino,1,gratuita,não possui,não possui,9055,36,educação,0
53,masculino,2,própria,bastante,não possui,2835,24,móveis/equipamentos,0
35,masculino,3,alugada,pouco,moderado,6948,36,carro,0
61,masculino,1,própria,rico,não possui,3059,12,rádio/TV,0
28,masculino,3,própria,pouco,moderado,5234,30,carro,0
25,feminino,2,alugada,pouco,moderado,1295,12,carro,0
24,feminino,2,alugada,pouco,pouco,4308,48,negócios,0
22,feminino,2,própria,pouco,moderado,1567,12,rádio/TV,0
60,masculino,1,própria,pouco,pouco,1199,24,carro,0
28,feminino,2,alugada,pouco,pouco,1403,15,carro,0
32,feminino,1,própria,moderado,pouco,1282,24,rádio/TV,0
53,masculino,2,própria,não possui,não possui,2424,24,rádio/TV,0
25,masculino,2,própria,não possui,pouco,8072,30,negócios,1
44,feminino,3,gratuita,pouco,moderado,12579,24,carro,0
31,masculino,2,própria,bastante,não possui,3430,24,rádio/TV,0
48,masculino,2,própria,pouco,não possui,2134,9,carro,1
44,masculino,2,alugada,bastante,pouco,2647,6,rádio/TV,1
48,masculino,1,alugada,pouco,pouco,2241,10,carro,1
44,masculino,2,própria,moderado,moderado,1804,12,carro,0
26,masculino,2,própria,não possui,não possui,2069,10,móveis/equipamentos,1
36,masculino,1,própria,pouco,pouco,1374,6,móveis/equipamentos,1
39,masculino,1,própria,pouco,não possui,426,6,rádio/TV,1
42,feminino,2,alugada,rico,rico,409,12,rádio/TV,1
34,masculino,2,própria,pouco,moderado,2415,7,rádio/TV,1
63,masculino,2,própria,pouco,pouco,6836,60,negócios,0
36,masculino,2,própria,rico,moderado,1913,18,negócios,0
27,masculino,2,própria,pouco,pouco,4020,24,móveis/equipamentos,1
30,masculino,2,própria,moderado,moderado,5866,18,carro,0
57,masculino,1,alugada,não possui,não possui,1264,12,negócios,0
33,feminino,3,própria,pouco,rico,1474,12,móveis/equipamentos,0
25,masculino,1,própria,pouco,moderado,4746,45,rádio/TV,0
31,masculino,2,gratuita,pouco,não possui,6110,48,educação,0
37,masculino,2,própria,pouco,rico,2100,18,rádio/TV,0
37,masculino,2,própria,pouco,rico,1225,10,eletrodomésticos,1
24,masculino,2,própria,pouco,moderado,458,9,rádio/TV,1
30,masculino,3,própria,bastante,não possui,2333,30,rádio/TV,0
26,masculino,2,própria,bastante,moderado,1158,12,rádio/TV,1
44,masculino,1,própria,pouco,moderado,6204,18,reparos,0
24,masculino,2,alugada,moderado,pouco,6187,30,carro,1
58,feminino,1,gratuita,pouco,pouco,6143,48,carro,0
35,feminino,3,própria,pouco,não possui,1393,11,carro,1
39,masculino,2,própria,bastante,não possui,2299,36,rádio/TV,0
23,feminino,0,alugada,bastante,pouco,1352,6,carro,1
39,masculino,1,própria,pouco,não possui,7228,11,carro,0
28,feminino,2,própria,moderado,não possui,2073,12,rádio/TV,0
29,masculino,1,própria,não possui,moderado,2333,24,móveis/equipamentos,0
30,masculino,3,própria,pouco,moderado,5965,27,carro,0
25,masculino,2,própria,pouco,não possui,1262,12,rádio/TV,1
31,masculino,2,própria,não possui,não possui,3378,18,carro,0
57,masculino,2,gratuita,pouco,moderado,2225,36,carro,0
26,masculino,1,própria,não possui,não possui,783,6,carro,1
52,masculino,3,própria,não possui,moderado,6468,12,rádio/TV,1
31,feminino,2,própria,pouco,não possui,9566,36,rádio/TV,0
23,feminino,3,própria,pouco,rico,1961,18,carro,0
23,feminino,1,alugada,pouco,pouco,6229,36,móveis/equipamentos,1
27,masculino,2,própria,pouco,moderado,1391,9,negócios,1
50,masculino,2,própria,não possui,moderado,1537,15,rádio/TV,0
61,masculino,3,gratuita,pouco,moderado,1953,36,negócios,1
25,masculino,2,própria,pouco,moderado,14421,48,negócios,1
26,feminino,2,própria,pouco,não possui,3181,24,rádio/TV,0
48,masculino,2,própria,não possui,não possui,5190,27,reparos,0
29,feminino,2,própria,pouco,não possui,2171,12,rádio/TV,0
22,masculino,2,própria,rico,moderado,1007,12,carro,1
37,masculino,2,gratuita,pouco,não possui,1819,36,educação,0
25,feminino,2,própria,não possui,não possui,2394,36,rádio/TV,0
30,feminino,2,própria,pouco,não possui,8133,36,carro,0
46,masculino,1,alugada,não possui,não possui,730,7,rádio/TV,1
51,masculino,3,gratuita,pouco,pouco,1164,8,férias/outros,1
41,feminino,1,própria,pouco,moderado,5954,42,negócios,0
40,masculino,3,própria,não possui,pouco,1977,36,educação,0
66,masculino,3,gratuita,pouco,pouco,1526,12,carro,1
34,masculino,2,própria,pouco,pouco,3965,42,rádio/TV,0
51,masculino,2,própria,pouco,moderado,4771,11,rádio/TV,1
39,masculino,1,própria,não possui,não possui,9436,54,carro,0
22,masculino,2,própria,pouco,moderado,3832,30,móveis/equipamentos,1
44,feminino,2,própria,não possui,não possui,5943,24,rádio/TV,1
47,masculino,2,própria,bastante,não possui,1213,15,rádio/TV,0
24,feminino,1,alugada,moderado,não possui,1568,18,negócios,1
58,feminino,1,própria,pouco,pouco,1755,24,férias/outros,0
52,masculino,1,própria,pouco,pouco,2315,10,rádio/TV,1
29,feminino,3,própria,pouco,não possui,1412,12,negócios,0
27,feminino,2,própria,pouco,moderado,1295,18,móveis/equipamentos,0
47,masculino,2,gratuita,moderado,moderado,12612,36,educação,1
30,masculino,3,própria,moderado,pouco,2249,18,carro,0
28,masculino,2,própria,pouco,pouco,1108,12,reparos,1
56,masculino,2,própria,pouco,não possui,618,12,rádio/TV,0
54,masculino,2,própria,pouco,pouco,1409,12,carro,0
33,feminino,1,própria,não possui,não possui,797,12,rádio/TV,0
20,masculino,2,alugada,não possui,rico,3617,24,móveis/equipamentos,1
54,masculino,2,própria,rico,moderado,1318,12,carro,0
58,masculino,2,alugada,pouco,moderado,15945,54,negócios,1
61,feminino,2,própria,não possui,não possui,2012,12,educação,1
34,masculino,2,própria,moderado,moderado,2622,18,negócios,0
36,masculino,2,própria,pouco,moderado,2337,36,rádio/TV,0
36,masculino,3,alugada,não possui,moderado,7057,20,carro,0
41,masculino,1,alugada,moderado,não possui,1469,24,carro,0
24,masculino,2,alugada,pouco,moderado,2323,36,rádio/TV,1
24,feminino,2,própria,pouco,não possui,932,6,rádio/TV,1
35,masculino,2,alugada,pouco,moderado,1919,9,móveis/equipamentos,1
26,masculino,2,alugada,não possui,não possui,2445,12,carro,1
39,masculino,3,própria,pouco,moderado,11938,24,férias/outros,0
39,masculino,3,própria,pouco,não possui,6458,18,carro,0
32,masculino,2,própria,pouco,moderado,6078,12,carro,0
30,feminino,2,própria,não possui,pouco,7721,24,móveis/equipamentos,0
35,masculino,2,própria,bastante,moderado,1410,14,negócios,0
31,masculino,2,própria,moderado,moderado,1449,6,negócios,1
23,feminino,2,alugada,pouco,rico,392,15,educação,0
28,masculino,1,alugada,pouco,moderado,6260,18,carro,0
25,feminino,2,própria,pouco,não possui,7855,36,carro,0
35,masculino,2,própria,bastante,pouco,1680,12,rádio/TV,0
47,masculino,2,própria,não possui,não possui,3578,48,rádio/TV,0
30,feminino,3,própria,não possui,pouco,7174,42,rádio/TV,0
27,feminino,2,alugada,não possui,pouco,2132,10,móveis/equipamentos,1
23,feminino,2,própria,bastante,pouco,4281,33,móveis/equipamentos,0
36,masculino,3,própria,bastante,moderado,2366,12,carro,0
25,feminino,2,própria,pouco,pouco,1835,21,rádio/TV,0
41,feminino,3,alugada,pouco,não possui,3868,24,carro,0
24,masculino,1,alugada,pouco,não possui,1768,12,móveis/equipamentos,0
63,masculino,2,gratuita,pouco,rico,781,10,carro,1
27,feminino,2,alugada,não possui,moderado,1924,18,móveis/equipamentos,0
30,masculino,2,própria,pouco,pouco,2121,12,carro,0
40,masculino,1,própria,pouco,pouco,701,12,rádio/TV,0
30,masculino,2,própria,pouco,moderado,639,12,reparos,0
